Campaign,Ad group,Ad type,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Status,Impr.,Clicks,CTR,Avg. CPC,Cost,Conversions,Conv. rate,Cost / conv.,Currency
Search - Laser Cutting Services - US/CA,Laser Cutting Services,Responsive search ad,Laser Cutting Services,Instant Online Quote,Custom Metal Parts,Upload CAD files and get fast pricing for laser cut sheet metal parts.,Canadian-owned manufacturing platform with production in China and Mexico.,Enabled,5200,340,6.54%,6.2,2108.0,24,7.06%,87.83,USD
Search - Laser Cutting Services - US/CA,Laser Cutting Services,Responsive search ad,Custom Laser Cut Parts,Fast Sheet Metal Quotes,Prototype to Production,"Get laser cutting, bending and CNC machining from one manufacturing workflow.",Order custom parts online with DFM feedback and transparent pricing.,Enabled,4300,260,6.05%,6.55,1703.0,15,5.77%,113.53,USD
Search - Laser Cutting Services - US/CA,Low Intent Laser Cutting,Responsive search ad,Laser Cutting Files,Metal Cutting Guide,Learn Laser Cutting,Read about laser cutting and metal fabrication processes.,Download resources and explore manufacturing options.,Enabled,3100,82,2.65%,3.3,270.6,0,0.00%,,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,Responsive search ad,Sheet Metal Fabrication,Instant Quote Online,Laser Cutting & Bending,Upload your drawing and get a quote for custom sheet metal parts.,From prototypes to production batches with quality manufacturing support.,Enabled,4700,270,5.74%,5.85,1579.5,18,6.67%,87.75,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,Responsive search ad,Custom Sheet Metal Parts,Online Fabrication Quote,DFM Feedback Included,"Get pricing, feedback and ordering for sheet metal laser cutting and bending.","Built for engineers, hardware startups and industrial buyers.",Enabled,3900,220,5.64%,6.1,1342.0,13,5.91%,103.23,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Design,Responsive search ad,Sheet Metal Design Guide,Drawing Guidelines,Bend Radius Tips,Improve your sheet metal drawings before sending them for production.,Learn design rules and upload your file when ready.,Enabled,5600,130,2.32%,2.05,266.5,1,0.77%,266.5,USD
Search - CNC Machining Online Quote,CNC Online Quote,Responsive search ad,CNC Machining Quote,Custom CNC Parts,Upload CAD Files,Get CNC machining pricing and feedback for custom metal parts.,Combine CNC machining with sheet metal fabrication in one workflow.,Enabled,3800,190,5.00%,8.1,1539.0,12,6.32%,128.25,USD
Search - CNC Machining Online Quote,CNC Parts,Responsive search ad,CNC Machined Parts,Prototype & Production,Metal Parts Online,Order CNC parts with support for common materials and finishes.,Canadian-owned platform managing production in China and Mexico.,Enabled,3400,145,4.26%,7.2,1044.0,5,3.45%,208.8,USD
Search - CNC Machining Online Quote,CNC Educational,Responsive search ad,What Is CNC Machining?,CNC Process Guide,Manufacturing Basics,"Learn about CNC machining processes, tolerances and materials.",Read the guide and explore custom manufacturing options.,Enabled,4200,95,2.26%,2.5,237.5,0,0.00%,,USD
Search - Custom Metal Parts,Custom Metal Parts,Responsive search ad,Custom Metal Parts,Instant Manufacturing Quote,"Laser, Bend & CNC",Get custom metal parts from prototype to production with online quoting.,"Upload files, review DFM feedback and place orders online.",Enabled,4400,255,5.80%,5.9,1504.5,19,7.45%,79.18,USD
Search - Custom Metal Parts,Custom Metal Parts,Responsive search ad,Custom Aluminum Parts,Sheet Metal & CNC,Fast Online Quote,"Order laser cut, bent or CNC machined aluminum parts online.","Suitable for hardware, robotics, industrial and OEM projects.",Enabled,3100,137,4.42%,6.15,842.55,7,5.11%,120.36,USD
Search - Prototype to Production,Prototype Manufacturing,Responsive search ad,Prototype Metal Parts,Scale To Production,Manufacturing Support,Start with prototypes and scale to production with one partner.,"Get engineering feedback, pricing and production support.",Enabled,2600,75,2.88%,5.4,405.0,2,2.67%,202.5,USD
Search - Contract Manufacturing China/Mexico,Contract Manufacturing,Responsive search ad,Contract Manufacturing,Canadian-Owned In China,China & Mexico Production,Launch and scale custom manufacturing with a vertically integrated team.,From sheet metal and CNC parts to assembly and production support.,Enabled,3600,104,2.89%,8.8,915.2,4,3.85%,228.8,USD
Search - Competitor Terms - Xometry/Protolabs,Xometry Alternatives,Responsive search ad,Xometry Alternative,Custom Metal Parts,Online Quote,"Compare options for custom sheet metal, CNC machining and production support.",Work with a Canadian-owned team managing production in China and Mexico.,Enabled,2400,170,7.08%,9.7,1649.0,5,2.94%,329.8,USD
Search - Competitor Terms - Xometry/Protolabs,Protolabs Alternatives,Responsive search ad,Protolabs Alternative,Sheet Metal & CNC,Quote Online,Explore an alternative for custom metal parts and production scaling.,"Get pricing, DFM feedback and ordering through one online workflow.",Enabled,1900,112,5.89%,9.2,1030.4,2,1.79%,515.2,USD
