Campaign,Ad group,Search term,Keyword,Match type,Impr.,Clicks,CTR,Avg. CPC,Cost,Conversions,Conv. rate,Cost / conv.,Currency
Search - Laser Cutting Services - US/CA,Laser Cutting Services,laser cutting services for custom metal parts,laser cutting services,Exact,520,42,8.08%,5.8,243.6,5,11.90%,48.72,USD
Search - Laser Cutting Services - US/CA,Laser Cutting Services,laser cutting service metal,laser cutting service metal,Phrase,410,33,8.05%,6.1,201.3,4,12.12%,50.33,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,instant quote sheet metal fabrication,sheet metal fabrication online quote,Phrase,380,31,8.16%,7.2,223.2,4,12.90%,55.8,USD
Search - Custom Metal Parts,Custom Metal Parts,custom laser cut aluminum parts,custom aluminum parts,Phrase,290,24,8.28%,5.7,136.8,2,8.33%,68.4,USD
Search - CNC Machining Online Quote,CNC Online Quote,cnc machining online quote,cnc machining online quote,Exact,450,38,8.44%,8.9,338.2,4,10.53%,84.55,USD
Search - Custom Metal Parts,Custom Metal Parts,metal fabrication online quote usa,metal fabrication online quote,Phrase,330,25,7.58%,6.75,168.75,2,8.00%,84.38,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Design,sheet metal drawing guidelines,sheet metal drawing,Broad,620,28,4.52%,1.95,54.6,0,0.00%,,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Design,sheet metal design pdf,sheet metal design,Broad,780,44,5.64%,2.1,92.4,0,0.00%,,USD
Search - Laser Cutting Services - US/CA,Low Intent Laser Cutting,free laser cutting files,laser cutting files,Broad,920,61,6.63%,2.8,170.8,0,0.00%,,USD
Search - Laser Cutting Services - US/CA,Low Intent Laser Cutting,laser cutting machine for sale,laser cutting machine,Broad,850,52,6.12%,4.1,213.2,0,0.00%,,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,diy sheet metal bending,sheet metal bending service,Broad,700,36,5.14%,3.2,115.2,0,0.00%,,USD
Search - CNC Machining Online Quote,CNC Educational,cnc machining course,cnc machining course,Broad,680,31,4.56%,3.1,96.1,0,0.00%,,USD
Search - Laser Cutting Services - US/CA,Low Intent Laser Cutting,laser cutting jobs,laser cutting service,Broad,610,29,4.75%,3.6,104.4,0,0.00%,,USD
Search - CNC Machining Online Quote,CNC Educational,what is cnc machining,what is cnc machining,Broad,950,39,4.11%,2.35,91.65,0,0.00%,,USD
Search - Prototype to Production,Low Intent Prototype,prototype template,prototype metal parts,Broad,580,26,4.48%,2.15,55.9,0,0.00%,,USD
Search - Contract Manufacturing China/Mexico,Contract Manufacturing,cheap manufacturer in china,china contract manufacturer,Broad,500,22,4.40%,6.9,151.8,0,0.00%,,USD
Search - Competitor Terms - Xometry/Protolabs,Xometry Alternatives,xometry alternative for sheet metal parts,xometry alternative,Phrase,320,30,9.38%,9.7,291.0,2,6.67%,145.5,USD
Search - Competitor Terms - Xometry/Protolabs,Protolabs Alternatives,protolabs alternative cnc machining,protolabs alternative,Phrase,250,21,8.40%,9.3,195.3,1,4.76%,195.3,USD
Search - Competitor Terms - Xometry/Protolabs,Xometry Alternatives,xometry coupon code,xometry alternative,Broad,410,24,5.85%,5.2,124.8,0,0.00%,,USD
Search - Competitor Terms - Xometry/Protolabs,Protolabs Alternatives,protolabs careers,protolabs cnc machining,Broad,390,18,4.62%,4.8,86.4,0,0.00%,,USD
