Campaign,Ad group,Keyword,Match type,Status,Impr.,Clicks,CTR,Avg. CPC,Cost,Conversions,Conv. rate,Cost / conv.,Conv. value,ROAS,Currency
Search - Laser Cutting Services - US/CA,Laser Cutting Services,laser cutting service,Phrase,Enabled,4200,240,5.71%,6.36,1526.4,14,5.83%,109.03,6300.0,4.13,USD
Search - Laser Cutting Services - US/CA,Laser Cutting Services,laser cutting services,Exact,Enabled,3100,190,6.13%,5.75,1092.5,13,6.84%,84.04,5850.0,5.35,USD
Search - Laser Cutting Services - US/CA,Laser Cutting Services,laser cutting service metal,Phrase,Enabled,950,57,6.00%,6.28,357.96,5,8.77%,71.59,2250.0,6.29,USD
Search - Laser Cutting Services - US/CA,Laser Cutting Services,metal laser cutting service,Phrase,Enabled,880,45,5.11%,5.95,267.75,3,6.67%,89.25,1350.0,5.04,USD
Search - Laser Cutting Services - US/CA,Laser Cutting Services,laser cut metal parts,Phrase,Enabled,1500,66,4.40%,7.1,468.6,4,6.06%,117.15,1800.0,3.84,USD
Search - Laser Cutting Services - US/CA,Low Intent Laser Cutting,laser cutting files,Broad,Enabled,2600,110,4.23%,3.2,352.0,0,0.00%,,0.0,0.0,USD
Search - Laser Cutting Services - US/CA,Low Intent Laser Cutting,laser cutting machine,Broad,Enabled,2200,90,4.09%,4.1,369.0,0,0.00%,,0.0,0.0,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,online sheet metal fabrication,Phrase,Enabled,1200,58,4.83%,6.8,394.4,5,8.62%,78.88,2250.0,5.7,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,custom sheet metal parts,Exact,Enabled,980,51,5.20%,6.25,318.75,6,11.76%,53.13,2700.0,8.47,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,sheet metal fabrication online quote,Phrase,Enabled,760,44,5.79%,7.4,325.6,4,9.09%,81.4,1800.0,5.53,USD
Search - Sheet Metal Fabrication - US/CA,Sheet Metal Fabrication,sheet metal bending service,Phrase,Enabled,1400,49,3.50%,5.3,259.7,2,4.08%,129.85,900.0,3.47,USD
